file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s_13,0.0,0.745,voice2,-61.73290346746575,-58.69181251525879,0.7071067811865475,20.16451927959917
s_08,0.0,0.745,voice2,-58.43347335188356,-57.82052993774414,1.0910894511799614,18.015600953605826
s_09,0.0,0.745,voice2,-57.74171259631849,-64.97645568847656,0.7071067811865475,19.817552528268337
s_15,0.0,0.745,voice2,-58.09476000642123,-56.77463404337565,0.8728715609439701,28.081739803690237
s_12,0.0,0.745,voice2,-55.63059851241438,-51.980865478515625,0.7071067811865475,27.73134407137521
s_14,0.0,0.745,voice2,-56.674497003424655,-66.3470458984375,0.7071067811865475,18.269331857708256
s_10,0.0,0.745,voice2,-58.18230281464041,-68.1254653930664,0.7071067811865476,28.963504871629567
s_11,0.0,0.745,voice2,-58.30867401541096,-58.30291175842285,0.7071067811865476,20.426947190277712
