file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s_28,0.0,0.7450625,voice4,-52.129498207405824,-53.09809875488281,0.7071067811865476,24.681505495806014
s_31,0.0,0.7450625,voice4,-51.374046848244866,-61.80865732828776,1.1547005383792397,26.550924734054032
s_26,0.0,0.7450625,voice4,-54.37856846639555,-71.61351776123047,0.7071067811865476,27.193904863331383
s_27,0.0,0.7450625,voice4,-48.54723619434932,-55.29347610473633,0.7071067811865476,27.938070300243282
s_25,0.0,0.7450625,voice4,-50.19943279109589,-65.18472290039062,0.7071067811865475,20.3174806271724
s_30,0.0,0.7450625,voice4,-56.97527156464041,-65.7116928100586,0.7071067811865475,17.025118486062212
s_29,0.0,0.7450625,voice4,-57.35803724315068,-57.20908737182617,0.7071067811865475,19.25051022859307
s_24,0.0,0.7450625,voice4,-52.022527825342465,-62.43813705444336,0.5773504125761045,25.544234540371807
