file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s_21,0.0,0.745125,voice3,-53.91540360124144,-48.3138370513916,0.7071067811865476,19.855765391429067
s_20,0.0,0.745125,voice3,-51.27805944991438,-50.074825286865234,0.7071067811865476,28.070910095786935
s_22,0.0,0.745125,voice3,-46.92302547089041,-68.60546112060547,0.7071067811865476,18.97559137187124
s_17,0.0,0.745125,voice3,-52.004043370077056,-58.700687408447266,0.7071067811865476,19.660911418860312
s_16,0.0,0.745125,voice3,-51.94352325021404,-53.186702728271484,1.120897228060653,25.05547109554579
s_18,0.0,0.745125,voice3,-52.49878598565925,-67.21495819091797,0.7071067811865476,29.941296078396228
s_19,0.0,0.745125,voice3,-52.82156330265411,-52.35783576965332,0.7071067811865476,24.6805867090241
s_23,0.0,0.745125,voice3,-50.677817984803085,-54.043314615885414,0.8006403147496861,26.066054204381594
