file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s_07,0.0,0.7450625,voice1,-51.09320151969178,-50.74106216430664,1.091089886675033,23.478813150120303
s_02,0.0,0.7450625,voice1,-53.85885327482877,-56.0954475402832,0.7071067811865476,20.549096132032393
s_06,0.0,0.7450625,voice1,-53.15837703339041,-64.26166534423828,0.7071067811865476,16.88518014346692
s_01,0.0,0.745,voice1,-50.51272875642123,-56.7166633605957,0.7071067811865476,12.432197224775326
s_00,0.0,0.7450625,voice1,-51.29804553724315,-51.78727722167969,0.8728706899518001,19.809179485996722
s_04,0.0,0.7450625,voice1,-47.69402156464041,-43.90144157409668,0.7071067811865475,22.842298803833394
s_03,0.0,0.7450625,voice1,-50.20274708369007,-49.1008186340332,0.7071067811865476,21.876703078185884
s_05,0.0,0.7450625,voice1,-55.92189172196062,-57.46315574645996,0.7071067811865476,17.47757730143102
